id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
313889,"Hoplomachus: Victorum",2023,936,6.68697,8.34015,1896,0,,,,,,473,,
181687,"The Pursuit of Happiness",2015,937,6.68621,7.15168,6210,0,,,,236,,,215,
204516,"878 Vikings: Invasions of England",2017,938,6.68484,7.47511,3811,0,,,,,,,,94
198740,"Lovecraft Letter",2017,939,6.684,7.22193,5722,0,,,,251,52,,,
220520,"Caverna: Cave vs Cave",2017,940,6.68389,7.07756,7337,0,,,,,,587,,
251678,"Railroad Ink: Blazing Red Edition",2018,941,6.68138,7.05668,7876,0,,,,261,,,,
256382,"Disney Villainous: The Worst Takes it All",2018,942,6.68002,6.91139,22732,0,,,,309,,,,
116998,"Thunderstone Advance: Towers of Ruin",2012,943,6.67944,7.31133,4802,0,,,,,,562,,
47185,"Warhammer: Invasion",2009,944,6.67926,7.23295,6144,0,,39,,,,610,,
200147,Kanagawa,2016,945,6.67912,7.00203,9624,0,,,,275,,,,
357873,"The Old King's Crown",2025,946,6.67894,8.09346,2344,0,,,,,,494,,
31563,"Middle-Earth Quest",2009,947,6.67868,7.38266,4291,0,,,,,,,178,
332290,"Stardew Valley: The Board Game",2021,948,6.67765,7.40369,4928,0,,,,,,,260,
256570,"Crown of Emara",2018,949,6.67683,7.34922,4198,0,,,,,,535,,
3307,Wallenstein,2002,950,6.67638,7.45068,3700,0,,,,,,523,,100
218121,"Dice Hospital",2018,951,6.67631,7.0952,7101,0,,,,256,,613,,
198830,"Heroes of Land, Air & Sea",2018,952,6.67587,7.5536,3509,0,,,,,,539,,198
239472,"Abomination: The Heir of Frankenstein",2019,953,6.67543,7.44068,3915,0,,,,,,555,180,
294612,"Unlock!: Epic Adventures",2019,954,6.67529,7.64948,2830,0,,,,,,,139,
201825,"Ex Libris",2017,955,6.67529,7.10941,6979,0,,,,,,612,,
249277,"Brazil: Imperial",2021,956,6.67385,7.5141,3855,0,,,,,,557,,
359970,Challengers!,2022,957,6.67379,7.06133,8084,0,,,,268,57,,,
161417,Red7,2014,958,6.67327,6.85983,17290,0,,,,293,,,,
338760,"Imperial Steam",2021,959,6.67299,7.72407,2641,0,,,,,,487,,
231218,"Black Sonata",2017,960,6.67251,7.46726,3707,0,,,,,,563,,
254386,"Raccoon Tycoon",2018,961,6.67237,7.21124,5652,0,,,,250,,611,,
285984,"Last Bastion",2019,962,6.67152,7.44115,3951,0,,,,,,582,,
156943,"Saint Petersburg (Second Edition)",2014,963,6.67131,7.44799,3582,0,,,,,,527,,
194879,"Not Alone",2016,964,6.66819,6.9552,11915,0,,,,,,668,,
271319,"Las Vegas Royale",2019,965,6.66703,7.45863,3569,0,,,,213,,,,
179172,Unfair,2017,966,6.66678,7.28341,5639,0,,,,,,619,246,
203417,"EXIT: The Game – The Secret Lab",2016,967,6.66677,7.04304,7368,0,,,,272,,,220,
43528,"World Without End",2009,968,6.66641,7.21748,5227,0,,,,,,576,,
171273,FUSE,2015,969,6.6663,6.98537,9231,0,,,,282,,,,
55600,Shipyard,2009,970,6.66625,7.31476,4227,0,,,,,,540,,
277700,"Merchants Cove",2021,971,6.66613,7.39409,4111,0,,,,,,561,,
272739,"Clinic: Deluxe Edition",2019,972,6.66314,7.56852,3113,0,,,,,,518,,
234477,"Battle for Rokugan",2017,973,6.6627,7.3937,4213,0,,,,,,574,,177
