games_id,name,yearpublished,rank,average,usersrated,abstracts_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,images,thumbnails,prices
162886,Spirit Island,2017,11,8.34051,62291,0.0,0.0,0.0,10.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/92/img_20392_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/92/img_20392_THUMBNAIL.png,69.98
291457,Gloomhaven: Jaws of the Lion,2020,12,8.36526,40681,0.0,0.0,0.0,12.0,8.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/99/img_35399_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/99/img_35399_THUMBNAIL.png,49.99
220308,Gaia Project,2017,13,8.35278,31018,0.0,0.0,0.0,9.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/22/img_21522_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/22/img_21522_THUMBNAIL.png,79.97
12333,Twilight Struggle,2005,14,8.22941,51848,0.0,0.0,0.0,16.0,0.0,2.0,https://d2qg6c07ydxh2f.cloudfront.net/items/11/img_211_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/11/img_211_THUMBNAIL.png,72.98
84876,The Castles of Burgundy,2011,15,8.15963,69007,0.0,0.0,0.0,17.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/19/img_619_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/19/img_619_THUMBNAIL.png,34.39
182028,Through the Ages: A New Story of Civilization,2015,16,8.25049,34644,0.0,0.0,0.0,15.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/18/img_16218_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/18/img_16218_THUMBNAIL.png,83.97999999999999
418059,SETI: Search for Extraterrestrial Intelligence,2024,17,8.41956,18279,0.0,0.0,0.0,14.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/27/img_72227_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/27/img_72227_THUMBNAIL.png,74.95
338960,Slay the Spire: The Board Game,2024,18,8.66093,11902,0.0,0.0,0.0,13.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/84/img_66784_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/84/img_66784_THUMBNAIL.png,183.13
193738,Great Western Trail,2016,19,8.15138,43597,0.0,0.0,0.0,21.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/24/img_18524_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/24/img_18524_THUMBNAIL.png,54.08
295770,Frosthaven,2022,20,8.74893,9957,0.0,0.0,0.0,11.0,6.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/93/img_35093_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/93/img_35093_THUMBNAIL.png,250.0
421006,The Lord of the Rings: Duel for Middle-earth,2024,21,8.36134,18605,0.0,1.0,0.0,20.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/28/img_73128_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/28/img_73128_THUMBNAIL.png,43.5
246900,Eclipse: Second Dawn for the Galaxy,2020,22,8.39299,17142,0.0,0.0,0.0,18.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/84/img_31884_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/84/img_31884_THUMBNAIL.png,179.99
28720,Brass: Lancashire,2007,23,8.19641,27126,0.0,0.0,0.0,19.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/64/img_364_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/64/img_364_THUMBNAIL.png,39.99
173346,7 Wonders Duel,2015,24,8.07869,107996,0.0,0.0,0.0,28.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/4/img_15804_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/4/img_15804_THUMBNAIL.png,34.59
167355,Nemesis,2018,25,8.25167,36939,0.0,0.0,0.0,0.0,12.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/5/img_23605_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/5/img_23605_THUMBNAIL.png,141.98
